,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,goderich,43.7501,-81.7165,12.2,73,100,11.5,CA,1613098360
265,srednekolymsk,67.45,153.6833,-20.11,85,0,3.89,RU,1613098145
266,lorengau,-2.0226,147.2712,84.38,77,61,7.87,PG,1613098361
267,almaznyy,48.0448,40.045,44.6,87,0,13.42,RU,1613098361
268,chancay,-11.5714,-77.2672,75.2,69,40,8.05,PE,1613098361
269,manassas,38.751,-77.4753,32.0,80,90,5.75,US,1613098193
270,tezu,27.9167,96.1667,75.36,20,0,2.48,IN,1613098361
271,trincomalee,8.5711,81.2335,79.18,65,100,7.65,LK,1613098174
272,dauriya,49.9333,116.8667,5.09,91,60,15.93,RU,1613098362
273,cherskiy,68.75,161.3,-20.52,86,0,1.66,RU,1613098362
274,elat,29.5581,34.9482,64.45,31,0,8.14,IL,1613098362
275,dickinson,29.4608,-95.0513,44.01,87,90,12.66,US,1613098362
276,fairbanks,64.8378,-147.7164,14.0,67,90,4.65,US,1613098362
277,luganville,-15.5333,167.1667,84.02,70,93,3.49,VU,1613098124
278,olinda,-8.0089,-34.8553,80.6,65,75,10.36,BR,1613098363
279,marzuq,14.4,46.4667,51.67,43,57,2.39,YE,1613098171
280,caraz,-9.0486,-77.81,61.48,59,100,3.71,PE,1613098363
281,nanortalik,60.1432,-45.2371,28.27,89,100,12.28,GL,1613098363
282,talcahuano,-36.7167,-73.1167,59.0,94,90,6.91,CL,1613098159
283,bar-le-duc,48.75,5.1667,23.0,68,0,9.22,FR,1613098363
284,pisco,-13.7,-76.2167,73.4,83,75,2.3,PE,1613098364
285,rojhan,28.6868,69.9534,64.17,28,99,9.48,PK,1613098364
286,brae,60.3964,-1.353,37.4,70,40,24.16,GB,1613098364
287,narsaq,60.9167,-46.05,39.2,28,75,41.43,GL,1613098364
288,yinchuan,38.4681,106.2731,42.31,49,50,7.87,CN,1613098364
289,acarau,-2.8856,-40.12,79.59,81,89,13.0,BR,1613098365
290,avarua,-21.2078,-159.775,84.2,70,75,4.61,CK,1613098365
291,graham,47.0529,-122.2943,30.99,80,90,4.61,US,1613098365
292,tallahassee,30.4383,-84.2807,64.4,94,75,3.49,US,1613098322
293,stokmarknes,68.5646,14.9108,35.01,60,100,14.0,NO,1613098365
294,faanui,-16.4833,-151.75,82.49,64,8,9.15,PF,1613098366
295,dodge city,43.4167,-88.7001,8.01,85,90,5.75,US,1613098366
296,korla,41.7597,86.1469,37.9,66,72,2.24,CN,1613098173
297,upernavik,72.7868,-56.1549,0.59,80,100,8.72,GL,1613098277
298,sampang,-7.1872,113.2394,84.2,84,20,8.05,ID,1613098366
299,port hardy,-7.0349,29.7638,73.2,72,100,6.35,CD,1613098330
300,salalah,17.0151,54.0924,69.8,40,0,4.61,OM,1613098335
301,bud,39.447,-86.1758,18.0,75,85,10.2,US,1613098153
302,benghazi,32.1167,20.0667,59.11,72,2,11.83,LY,1613098336
303,wanning,18.8003,110.3967,69.24,65,0,7.43,CN,1613098367
304,pudozh,61.8099,36.5345,-14.64,89,1,2.64,RU,1613098131
305,maneadero,31.7167,-116.5667,57.99,85,12,3.0,MX,1613098101
306,plaine magnien,48.4193,7.1463,19.4,68,88,8.05,FR,1613098367
307,shimoda,34.6667,138.95,51.8,66,75,11.5,JP,1613098134
308,bronnoysund,65.4625,12.1997,35.6,87,75,4.61,NO,1613098368
309,itarema,-2.9248,-39.9167,79.2,82,95,12.12,BR,1613098368
310,pionerskiy,54.9508,20.2275,16.0,79,75,15.66,RU,1613098368
311,ponta do sol,38.7333,-28.2667,53.89,96,100,26.17,PT,1613098358
312,bianzhuang,34.8486,118.0447,54.25,66,25,7.76,CN,1613098368
313,sayyan,15.1718,44.3244,46.42,52,68,3.2,YE,1613098369
314,manakara,-22.1333,48.0167,72.72,92,100,3.09,MG,1613098181
315,kavieng,-2.5744,150.7967,83.07,73,68,3.13,PG,1613098369
316,baruun-urt,46.6806,113.2792,7.47,88,20,6.22,MN,1613098369
317,paris,48.8534,2.3488,27.0,63,0,17.27,FR,1613098212
318,grindavik,63.8424,-22.4338,37.4,87,90,27.63,IS,1613098124
319,bay roberts,43.7334,-84.0166,17.01,67,90,4.99,US,1613098370
320,hamilton,39.1834,-84.5333,23.0,63,90,12.66,US,1613097983
321,tuktoyaktuk,69.4541,-133.0374,-7.6,77,40,8.05,CA,1613098278
322,ust-kuyga,70.0167,135.6,-8.48,84,15,5.41,RU,1613098109
323,guerrero negro,17.6667,-100.0,63.61,69,26,5.55,MX,1613098371
324,pauini,-7.7136,-66.9764,73.35,98,100,2.93,BR,1613098371
325,obidos,-1.9175,-55.5181,75.18,94,99,3.36,BR,1613098372
326,eureka,40.8021,-124.1637,48.99,97,98,1.01,US,1613098132
327,kahului,20.8947,-156.47,80.6,54,20,14.97,US,1613098025
328,kondinskoye,59.6481,67.41,-24.65,87,0,1.97,RU,1613098372
329,manali,13.1667,80.2667,73.4,73,40,3.44,IN,1613098372
330,norman wells,35.2226,-97.4395,19.99,86,90,12.66,US,1613098197
331,bathsheba,13.2167,-59.5167,78.8,65,20,20.71,BB,1613098373
332,lata,40.1629,-8.3327,55.99,92,37,3.94,PT,1613098373
333,caucaia,-3.7361,-38.6531,82.4,78,40,10.36,BR,1613098139
334,vanavara,60.34,102.2797,-16.1,87,96,5.68,RU,1613098150
335,kudahuvadhoo,2.6708,72.8944,80.02,79,1,15.55,MV,1613098373
336,vernon,50.2581,-119.2691,8.6,66,35,3.44,CA,1613098256
337,broome,42.2506,-75.833,14.0,85,75,6.91,US,1613098102
338,jeremoabo,-10.075,-38.4808,70.52,88,38,8.61,BR,1613098096
339,joshimath,30.5667,79.5667,52.09,30,100,4.18,IN,1613098374
340,longyan,25.1072,117.0225,58.69,75,92,3.24,CN,1613098374
341,meulaboh,4.1363,96.1285,84.6,68,93,2.77,ID,1613098375
342,izhma,65.0083,53.9113,-11.31,89,100,2.82,RU,1613098375
343,vezirkopru,41.1436,35.4547,46.4,57,0,10.36,TR,1613098375
344,gorontalo,0.5412,123.0595,91.18,57,79,2.33,ID,1613098375
345,fort nelson,52.6517,6.3861,19.0,92,0,1.01,NL,1613098376
346,tiznit,29.5833,-9.5,56.61,75,0,1.21,MA,1613098376
347,tilichiki,60.4667,166.1,-17.54,83,0,12.21,RU,1613098376
348,tecoanapa,16.5167,-98.75,75.31,83,0,6.8,MX,1613098376
349,kavaratti,10.5669,72.642,81.64,58,24,7.25,IN,1613098320
350,lermontovka,47.1453,134.3383,28.78,90,100,8.25,RU,1613098099
351,hualmay,-11.0964,-77.6139,72.81,75,91,6.04,PE,1613098377
352,san pedro,13.3034,-4.8956,74.95,17,0,8.43,ML,1613098118
353,sovetskiy,61.3614,63.5842,-24.34,86,23,1.79,RU,1613098377
354,sao jose da coroa grande,20.5113,76.2129,71.55,22,99,7.58,IN,1613098377
355,divinopolis,-20.1389,-44.8839,67.37,91,100,3.15,BR,1613098377
356,shingu,33.7333,135.9833,55.4,44,75,3.44,JP,1613098378
357,san quintin,13.3034,-4.8956,74.95,17,0,8.43,ML,1613098118
358,kysyl-syr,63.8986,122.7617,-14.49,88,58,3.62,RU,1613098378
359,calbuco,-41.768,-73.1273,55.4,82,40,6.91,CL,1613098327
360,mbandaka,0.0487,18.2603,75.78,66,0,3.33,CD,1613098378
361,darab,28.7519,54.5444,50.77,40,0,1.48,IR,1613098097
362,middelburg,-25.7751,29.4648,59.31,84,5,12.08,ZA,1613098379
363,longyearbyen,78.2186,15.6401,3.2,72,40,16.11,SJ,1613098379
364,ampanihy,-24.7,44.75,74.16,73,99,8.68,MG,1613098379
365,malakal,9.5334,31.6605,72.14,22,1,4.94,SS,1613098379
366,vilyuysk,63.7553,121.6247,-16.29,88,18,3.0,RU,1613098380
367,alihe,50.5667,123.7167,15.66,87,30,13.15,CN,1613098380
368,wlodawa,51.55,23.55,8.6,85,90,11.5,PL,1613098380
369,thinadhoo,0.5333,72.9333,81.21,77,86,13.6,MV,1613098101
370,iquitos,-3.7481,-73.2472,77.0,94,90,5.75,PE,1613098352
371,pochutla,15.7432,-96.4661,77.0,78,1,4.25,MX,1613098380
372,daru,-9.0763,143.2092,78.55,87,100,3.67,PG,1613098381
373,warmbad,-28.45,18.7333,76.32,57,79,4.79,NA,1613098381
374,kapuskasing,49.4169,-82.4331,-20.2,69,20,2.3,CA,1613098381
375,hofn,64.2539,-15.2082,41.04,68,100,19.04,IS,1613098381
376,smithers,54.7804,-127.1743,-0.4,55,1,3.44,CA,1613098382
377,eyl,7.9803,49.8164,68.65,80,98,10.42,SO,1613098356
378,bairiki,1.3292,172.9752,86.0,70,40,10.36,KI,1613098382
379,fergus falls,47.3,-109.2674,-24.0,85,1,13.8,US,1613098382
380,ossora,59.2353,163.0719,-0.69,82,0,7.34,RU,1613098382
381,mana,5.6592,-53.7767,78.01,84,82,11.18,GF,1613098383
382,ovruch,51.3246,28.8035,9.37,95,100,15.1,UA,1613098383
383,port macquarie,-7.0349,29.7638,72.81,70,100,4.34,CD,1613098383
384,ucluelet,48.9329,-125.5528,30.97,80,100,13.2,CA,1613098101
385,mackenzie,55.2999,-123.1698,-7.6,59,1,4.61,CA,1613098383
386,sorland,67.667,12.6934,35.55,80,100,28.25,NO,1613098170
387,coihaique,-45.5752,-72.0662,51.8,62,0,3.44,CL,1613098107
388,coquimbo,-29.9533,-71.3436,62.6,88,0,4.61,CL,1613098140
389,santiago del estero,-33.4569,-70.6483,72.0,82,75,8.05,CL,1613098384
390,raudeberg,61.9875,5.1352,23.0,63,0,8.05,NO,1613098111
391,dicabisagan,17.0818,122.4157,77.83,82,82,8.88,PH,1613098384
392,fayaoue,-20.65,166.5333,80.19,70,43,4.25,NC,1613098385
393,nisia floresta,39.3942,21.6373,48.2,61,20,5.75,GR,1613098385
394,freetown,8.484,-13.2299,77.07,83,97,4.9,SL,1613098385
395,atbasar,51.8,68.3333,-2.97,92,84,5.55,KZ,1613098385
396,asyut,27.181,31.1837,54.16,39,0,6.6,EG,1613098204
397,aitape,-3.1374,142.3475,84.92,68,90,3.74,PG,1613098386
398,riyadh,24.6877,46.7219,51.8,40,0,3.44,SA,1613097944
399,winkler,49.1817,-97.941,-16.6,52,86,4.61,CA,1613098386
400,plettenberg bay,51.2167,7.8833,12.99,92,0,3.89,DE,1613098386
401,balkanabat,39.5108,54.3671,47.88,66,19,3.33,TM,1613098386
402,manaus,-3.1019,-60.025,78.8,89,40,8.05,BR,1613098386
403,axim,4.8699,-2.2405,80.13,84,23,9.01,GH,1613098386
404,sambava,-14.2667,50.1667,76.71,84,100,4.25,MG,1613098158
405,mezen,65.8522,44.24,-5.49,90,100,4.61,RU,1613098387
406,kaduy,59.2,37.15,-9.4,77,75,4.47,RU,1613098387
407,yabassi,4.457,9.9682,80.6,100,75,2.3,CM,1613098387
408,yashalta,46.3395,42.2762,43.25,84,100,9.75,RU,1613098388
409,port-gentil,-0.7193,8.7815,80.92,84,100,10.27,GA,1613098329
410,beringovskiy,63.05,179.3167,-20.78,85,74,20.11,RU,1613098336
411,shenyang,41.7922,123.4328,44.6,61,20,4.47,CN,1613098388
412,kyabram,-36.3167,145.05,73.99,61,96,7.27,AU,1613098388
413,praia da vitoria,14.9215,-23.5087,69.8,68,0,16.11,CV,1613098389
414,scandiano,44.5965,10.6907,41.0,73,94,1.99,IT,1613098389
415,coos bay,43.1665,-124.0015,50.0,93,90,11.5,US,1613098389
416,raga,8.4596,25.678,64.45,27,57,1.99,SS,1613098389
417,ormond beach,-37.904,145.0433,73.0,58,51,8.19,AU,1613098390
418,osa,57.2829,55.4567,-4.86,89,58,5.3,RU,1613098096
419,bur gabo,56.365,8.4267,15.01,92,0,1.14,DK,1613098390
420,qostanay,53.1667,63.5833,12.2,85,90,6.71,KZ,1613098390
421,half moon bay,6.3807,-10.6953,78.06,91,70,3.83,LR,1613098390
422,port washington,-7.0349,29.7638,73.2,72,100,6.35,CD,1613098317
423,ahipara,-35.1667,173.1667,69.51,56,0,9.44,NZ,1613098391
424,olafsvik,64.8945,-23.7142,37.9,77,98,17.67,IS,1613098391
425,tiarei,-17.5333,-149.3333,86.0,62,75,3.44,PF,1613098391
426,weener,53.1667,7.35,21.99,88,0,7.09,DE,1613098391
427,hurricane,37.1753,-113.2899,59.0,31,20,5.75,US,1613098391
428,san nicolas,13.3034,-4.8956,74.95,17,0,8.43,ML,1613098201
429,seymchan,62.8833,152.4333,-2.29,90,69,1.25,RU,1613098392
430,oranjemund,-28.55,16.4333,63.43,91,15,11.1,NA,1613098392
431,boshnyakovo,49.6333,142.1667,19.27,97,96,3.38,RU,1613098392
432,ulaanbaatar,47.9077,106.8832,-2.2,78,75,1.52,MN,1613098392
433,yumen,40.2833,97.2,37.9,61,100,23.64,CN,1613098392
434,shaunavon,49.6501,-108.4181,-25.6,68,100,20.71,CA,1613098392
435,songjianghe,42.1859,127.479,38.48,69,100,7.05,CN,1613098393
436,wattegama,6.7989,81.4808,73.4,94,20,5.75,LK,1613098393
437,champerico,14.3,-91.9167,64.99,91,17,6.93,GT,1613098393
438,san alberto,13.3034,-4.8956,74.95,17,0,8.43,ML,1613098118
439,avare,-23.0986,-48.9258,60.19,95,71,4.45,BR,1613098394
440,voh,-20.9667,164.7,82.67,68,14,8.03,NC,1613098394
441,mnogovershinnyy,53.9353,139.9242,16.54,95,2,2.19,RU,1613098394
442,skibbereen,51.55,-9.2667,37.4,100,75,18.41,IE,1613098394
443,bilma,18.6853,12.9164,64.9,23,0,9.6,NE,1613098395
444,salina,38.8403,-97.6114,10.4,61,90,11.5,US,1613098395
445,pokhvistnevo,53.6524,52.1274,23.74,97,98,3.49,RU,1613098395
446,camacha,33.0833,-16.3333,59.0,88,20,8.05,PT,1613098395
447,berga,60.392,5.328,19.99,52,0,1.14,NO,1613098395
448,teya,60.3778,92.6267,-13.38,84,100,8.19,RU,1613098395
449,iwanai,42.9744,140.5089,37.4,72,21,2.24,JP,1613098396
450,rovenki,48.0833,39.3776,41.43,89,100,14.16,UA,1613098396
451,pontes e lacerda,-4.8333,-43.3667,75.2,94,75,6.91,BR,1613098396
452,kamenka,51.3223,42.7678,30.99,97,100,7.0,RU,1613098123
453,naze,28.3667,129.4833,64.4,77,75,24.16,JP,1613098326
454,phan thiet,19.5539,99.7405,70.0,88,0,2.3,TH,1613098397
455,neiafu,-18.65,-173.9833,84.2,79,40,11.5,TO,1613098397
456,antsohihy,-14.8796,47.9875,74.57,92,100,2.48,MG,1613098397
457,erie,42.7667,-78.6664,8.01,87,69,2.73,US,1613098284
458,vila franca do campo,42.0304,-8.1588,48.0,96,56,14.0,PT,1613098398
459,nouadhibou,20.931,-17.0347,62.6,77,0,23.02,MR,1613098398
460,yima,34.7381,111.8839,58.28,36,0,0.87,CN,1613098398
461,smoky lake,38.6465,-76.6508,33.01,89,100,10.16,US,1613098398
462,altus,34.6381,-99.334,23.0,74,90,11.5,US,1613098399
463,kyren,51.6828,102.1408,0.19,85,100,1.81,RU,1613098399
464,dunmore town,41.4198,-75.6324,21.2,63,1,8.05,US,1613098206
465,teguise,29.0605,-13.564,64.4,82,90,10.36,ES,1613098399
466,rio gallegos,38.3,21.7833,55.0,76,20,6.69,GR,1613098399
467,guangyuan,32.442,105.823,46.0,81,0,5.41,CN,1613098400
468,erdenet,49.0333,104.0833,5.07,93,100,3.71,MN,1613098400
469,cam ranh,-38.9838,-67.8222,80.6,47,40,2.3,AR,1613098400
470,namatanai,-3.6667,152.4333,83.55,75,61,6.71,PG,1613098350
471,lincoln,40.8,-96.667,3.2,72,90,16.11,US,1613098019
472,suntar,62.1444,117.6319,-14.78,86,47,4.45,RU,1613098401
473,cayenne,4.9333,-52.3333,77.0,100,75,3.44,GF,1613098376
474,guarapari,-20.6667,-40.4975,77.0,83,0,3.44,BR,1613098401
475,guanare,9.0418,-69.7421,74.84,53,55,1.83,VE,1613098401
476,huarmey,-10.0681,-78.1522,73.08,74,97,7.63,PE,1613098097
477,yenagoa,4.9247,6.2642,77.34,91,1,2.91,NG,1613098130
478,polyarnyy,69.1989,33.4478,-11.2,77,0,12.77,RU,1613098402
479,denpasar,-8.65,115.2167,80.6,89,75,3.44,ID,1613098119
480,mecca,21.4267,39.8261,71.42,65,0,0.56,SA,1613098402
481,dalhousie,32.5333,75.9833,44.49,49,10,7.07,IN,1613098402
482,hami,42.8,93.45,34.03,71,82,8.21,CN,1613098142
483,cockburn town,-32.0833,141.0,80.6,47,40,13.8,AU,1613098403
484,hafizabad,32.0679,73.6854,58.39,48,70,1.36,PK,1613098403
485,ndele,8.4109,20.6473,66.9,25,60,3.44,CF,1613098403
486,jobner,26.9667,75.3833,60.8,63,20,5.75,IN,1613098403
487,farso,56.7728,9.3393,15.01,78,0,5.5,DK,1613098403
488,onguday,50.75,86.15,1.81,84,93,2.13,RU,1613098404
489,saldanha,-33.0117,17.9442,64.4,94,5,10.36,ZA,1613098404
490,polunochnoye,60.8697,60.4153,-17.34,89,100,1.72,RU,1613098404
491,pombas,17.1503,-25.0201,69.8,78,40,18.41,CV,1613098404
492,haines junction,59.2286,-135.4441,12.2,52,1,14.97,US,1613098404
493,deniliquin,-35.5333,144.9667,73.0,61,68,10.42,AU,1613098405
494,abaete,-19.16,-45.4458,69.42,94,100,6.64,BR,1613098261
495,saint-francois,46.4154,3.9054,25.0,80,40,12.66,FR,1613098405
496,mizdah,31.4451,12.9801,47.84,74,0,4.59,LY,1613098406
497,krasnoselkup,65.7,82.4667,-34.33,82,0,5.84,RU,1613098406
498,waipawa,-41.4122,175.5153,66.0,72,75,17.27,NZ,1613098172
499,macapa,0.0389,-51.0664,77.0,94,0,2.3,BR,1613098353
500,vahagni,40.907,44.6087,21.2,93,0,5.97,AM,1613098406
501,pangai,-19.8,-174.35,86.0,79,20,9.22,TO,1613098406
502,berezovyy,51.6667,135.7,14.83,92,100,3.15,RU,1613098407
503,pedernales,18.0384,-71.744,75.97,58,0,9.6,DO,1613098407
504,pimentel,-6.8367,-79.9342,73.99,86,81,1.99,PE,1613098278
505,andra,62.5147,65.8878,-28.34,86,7,0.54,RU,1613098407
506,san cristobal,13.3034,-4.8956,74.95,17,0,8.43,ML,1613098201
507,doka,13.5167,35.7667,69.26,24,95,5.88,SD,1613098407
508,solnechnyy,50.7214,136.6319,16.3,92,100,3.49,RU,1613098408
509,altamira,-3.2033,-52.2064,73.54,96,100,3.15,BR,1613098408
510,gondar,12.6,37.4667,53.98,40,67,4.23,ET,1613098408
511,kuvandyk,51.4781,57.3552,30.47,98,100,6.38,RU,1613098408
512,campoverde,-8.4753,-74.8058,72.54,98,100,4.41,PE,1613098408
513,erzin,36.9559,36.2,52.0,89,14,10.0,TR,1613098409
514,victor harbor,42.9826,-77.4089,18.0,72,100,1.41,US,1613098409
515,flinders,-34.5833,150.8552,87.01,73,0,6.91,AU,1613098409
516,richards bay,46.8361,-95.9123,-13.0,70,75,6.91,US,1613098409
517,itatiaia,-22.4961,-44.5633,69.51,88,100,1.01,BR,1613098409
518,esmeraldas,-19.7625,-44.3139,69.8,94,75,9.22,BR,1613098409
519,trelew,-43.249,-65.3051,79.21,35,39,19.28,AR,1613098410
520,carutapera,-1.195,-46.02,79.14,83,99,7.16,BR,1613098410
521,sitamau,24.0167,75.35,65.88,26,0,5.46,IN,1613098410
522,nago,26.5881,127.9761,66.2,82,90,23.02,JP,1613098332
523,guatire,10.4762,-66.5427,78.8,78,20,4.61,VE,1613098410
524,lavrentiya,65.5833,-171.0,-20.58,81,65,13.82,RU,1613098411
525,zomba,-15.386,35.3188,63.99,98,100,1.16,MW,1613098411
526,payo,-3.7508,103.6372,80.2,87,100,2.73,ID,1613098411
527,bonavista,48.6499,-53.1147,25.0,93,100,11.5,CA,1613098411
528,moyale,3.5167,39.0584,66.88,49,14,4.65,KE,1613098411
